,instance,Unnamed: 0,status,obj,model time (s),total time (s),gap,source
46,Fattahi_setup_02_modified_old_deadline,0,2,deadline,0.0099999904632568,0.028383731842041,0.0,milp
47,Fattahi_setup_02_modified_old_makespan,0,2,makespan,0.0130000114440917,0.0254371166229248,0.0,milp
48,Fattahi_setup_03_modified_makespan,0,2,makespan,0.0269999504089355,0.0389502048492431,0.0,milp
49,Fattahi_setup_03_modified_old_deadline,0,2,deadline,0.0409998893737793,0.0550003051757812,0.0,milp
50,Fattahi_setup_03_modified_old_makespan,0,2,makespan,0.0329999923706054,0.0508089065551757,0.0,milp
51,Fattahi_setup_04_modified_makespan,0,2,makespan,0.0360000133514404,0.0510706901550293,0.0,milp
52,Fattahi_setup_04_modified_old_deadline,0,2,deadline,0.0240001678466796,0.0484991073608398,0.0,milp
53,Fattahi_setup_04_modified_old_makespan,0,2,makespan,0.0399999618530273,0.0540237426757812,0.0,milp
54,Fattahi_setup_05_modified_makespan,0,2,makespan,0.505000114440918,0.5170209407806396,0.0,milp
55,Fattahi_setup_05_modified_old_deadline,0,2,deadline,0.0609998703002929,0.0830950736999511,0.0,milp
56,Fattahi_setup_05_modified_old_makespan,0,2,makespan,0.6200001239776611,0.645949125289917,0.0,milp
57,Fattahi_setup_06_modified_makespan,0,2,makespan,0.0460000038146972,0.060927391052246,0.0,milp
58,Fattahi_setup_06_modified_old_deadline,0,2,deadline,0.0720000267028808,0.0945239067077636,0.0,milp
59,Fattahi_setup_06_modified_old_makespan,0,2,makespan,0.0509998798370361,0.067638874053955,0.0,milp
60,Fattahi_setup_07_modified_makespan,0,2,makespan,0.0680000782012939,0.0792474746704101,0.0,milp
61,Fattahi_setup_07_modified_old_deadline,0,2,deadline,0.0929999351501464,0.1179583072662353,0.0,milp
62,Fattahi_setup_07_modified_old_makespan,0,2,makespan,0.0750000476837158,0.0864739418029785,0.0,milp
63,Fattahi_setup_08_modified_makespan,0,2,makespan,0.0570001602172851,0.0770137310028076,0.0,milp
64,Fattahi_setup_08_modified_old_deadline,0,2,deadline,0.0869998931884765,0.122960090637207,0.0,milp
65,Fattahi_setup_08_modified_old_makespan,0,2,makespan,0.0720000267028808,0.0899865627288818,0.0,milp
66,Fattahi_setup_09_modified_makespan,0,2,makespan,0.0920000076293945,0.1119449138641357,0.0,milp
67,Fattahi_setup_09_modified_old_deadline,0,2,deadline,0.1299998760223388,0.1647224426269531,0.0,milp
68,Fattahi_setup_09_modified_old_makespan,0,2,makespan,0.0780000686645507,0.1107831001281738,0.0,milp
69,Fattahi_setup_10_modified_makespan,0,2,makespan,0.0400002002716064,0.0596680641174316,0.0,milp
70,Fattahi_setup_10_modified_old_deadline,0,2,deadline,0.0720000267028808,0.0880358219146728,0.0,milp
71,Fattahi_setup_10_modified_old_makespan,0,2,makespan,0.0460000038146972,0.0635356903076171,0.0,milp
72,Fattahi_setup_11_modified_makespan,0,2,makespan,1.2910001277923584,1.3216445446014404,0.0,milp
73,Fattahi_setup_11_modified_old_deadline,0,2,deadline,1.4240000247955322,1.454359769821167,0.0,milp
74,Fattahi_setup_11_modified_old_makespan,0,2,makespan,1.3989999294281006,1.4336233139038086,0.0,milp
75,Fattahi_setup_12_modified_makespan,0,2,makespan,2.46500015258789,2.4935622215271,0.0,milp
76,Fattahi_setup_12_modified_old_deadline,0,2,deadline,8.470999956130981,8.51380705833435,0.0,milp
77,Fattahi_setup_12_modified_old_makespan,0,2,makespan,2.58899998664856,2.632731914520264,0.0,milp
78,Fattahi_setup_13_modified_makespan,0,2,makespan,15.929999828338625,15.970234155654907,0.0,milp
79,Fattahi_setup_13_modified_old_deadline,0,2,deadline,337.96399998664856,338.01874113082886,0.0,milp
80,Fattahi_setup_13_modified_old_makespan,0,2,makespan,18.51200008392334,18.56950044631958,0.0,milp
81,Fattahi_setup_14_modified_makespan,0,2,makespan,33.592000007629395,33.641714334487915,0.0,milp
82,Fattahi_setup_14_modified_old_deadline,0,2,deadline,717.0339999198914,717.0936460494995,0.0,milp
83,Fattahi_setup_14_modified_old_makespan,0,2,makespan,41.58800005912781,41.66557335853577,0.0,milp
84,Fattahi_setup_15_modified_makespan,0,2,makespan,114.99699997901917,115.05916929244997,0.0,milp
85,Fattahi_setup_15_modified_old_deadline,0,2,deadline,2893.957000017166,2894.01841545105,0.0,milp
86,Fattahi_setup_15_modified_old_makespan,0,2,makespan,168.28800010681152,168.36242270469666,0.0,milp
87,Fattahi_setup_16_modified_makespan,0,9,makespan,3600.031999826432,3600.0994567871094,0.0089217435635992,milp
88,Fattahi_setup_16_modified_old_deadline,0,9,deadline,3600.276999950409,3603.0470774173737,0.2500945894816496,milp
89,Fattahi_setup_16_modified_old_makespan,0,9,makespan,3600.0350000858307,3600.157546758652,0.0194578978672779,milp
90,Fattahi_setup_17_modified_makespan,0,9,makespan,3600.283999919892,3602.553996324539,0.3726315789473684,milp
91,Fattahi_setup_17_modified_old_deadline,0,9,deadline,3600.207000017166,3624.0130009651184,0.4736708432102946,milp
92,Fattahi_setup_17_modified_old_makespan,0,9,makespan,3600.18700003624,3603.2209491729736,0.3722488038277512,milp
93,Fattahi_setup_18_modified_makespan,0,9,makespan,3600.128000020981,3623.263554096222,0.37448820713915,milp
94,Fattahi_setup_18_modified_old_deadline,0,9,deadline,3600.3919999599457,3604.6012341976166,0.5449076954988592,milp
95,Fattahi_setup_18_modified_old_makespan,0,9,makespan,3600.137000083924,3602.7939162254333,0.3737962055244795,milp
96,Fattahi_setup_19_modified_makespan,0,9,makespan,3600.133999824524,3604.474722862244,0.4984281268115592,milp
97,Fattahi_setup_19_modified_old_deadline,0,9,deadline,3600.457999944687,3616.574791193008,0.6028999516674722,milp
98,Fattahi_setup_19_modified_old_makespan,0,9,makespan,3600.1150000095367,3603.8762726783752,0.498065919896849,milp
99,Fattahi_setup_20_modified_makespan,0,9,makespan,3600.162999868393,3616.884964942932,0.5750783025241049,milp
100,Fattahi_setup_20_modified_old_deadline,0,9,deadline,3600.423000097275,3611.801329851152,0.6763203395158756,milp
101,Fattahi_setup_20_modified_old_makespan,0,9,makespan,3600.701999902725,3605.369630813599,0.5752011300128969,milp
102,MetalMeca_deadline,0,9,deadline,3600.236000061035,3602.675726175308,0.7351404479851017,milp
103,MetalMeca_makespan,0,9,makespan,3600.191999912262,3602.140431880951,0.1367240235224126,milp
104,PlasticInjection_deadline,0,9,deadline,3601.3109998703003,3608.278872489929,0.0987732553192325,milp
105,PlasticInjection_makespan,0,9,makespan,3600.5789999961853,3601.609674453736,0.0832303395133179,milp
106,URT_01_deadline,0,2,deadline,0.0269999504089355,5.850598573684692,0.0,milp
107,URT_01_makespan,0,2,makespan,0.0130000114440917,3.1262896060943604,0.0,milp
108,URT_02_deadline,0,2,deadline,0.0109999179840087,0.0198626518249511,0.0,milp
109,URT_02_makespan,0,2,makespan,0.0149998664855957,0.0364842414855957,0.0,milp
