
Gurobi 10.0.1 (win64) logging started Sun Oct  8 07:17:57 2023

Set parameter LogFile to value "./results//log/FMS_09_deadline_heurTrue.log"
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: AMD Ryzen 7 3700X 8-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads

Optimize a model with 193 rows, 124 columns and 752 nonzeros
Model fingerprint: 0x995c0f1b
Model has 1 quadratic constraint
Variable types: 0 continuous, 124 integer (105 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+07]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 4e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+07]

User MIP start did not produce a new incumbent solution
User MIP start violates constraint initial_start_time_job0_stage0_machine0_constraint by 420.000000000

Presolve removed 33 rows and 45 columns
Presolve time: 0.01s
Presolved: 167 rows, 85 columns, 735 nonzeros
Variable types: 0 continuous, 85 integer (60 binary)

Root relaxation: objective 0.000000e+00, 30 iterations, 0.00 seconds (0.00 work units)
Another try with MIP start

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 9661163     3  839.00000 3219343    3  850.00000  839.00000  1.29%   0.0  550s
 9707117     3  839.00000 3234661    3  850.00000  839.00000  1.29%   0.0  555s
 9755624     3  839.00000 3250830    3  850.00000  839.00000  1.29%   0.0  560s
 9799025     3  839.00000 3265297    3  850.00000  839.00000  1.29%   0.0  565s
 9844979     3  839.00000 3280615    3  850.00000  839.00000  1.29%   0.0  570s
 9890933     3  839.00000 3295933    3  850.00000  839.00000  1.29%   0.0  575s
 9936887     3  839.00000 3311251    3  850.00000  839.00000  1.29%   0.0  580s
 9982554     3  839.00000 3326418    3  850.00000  839.00000  1.29%   0.0  585s
 10027093     3  839.00000 3341036    3  850.00000  839.00000  1.29%   0.0  590s
 10073047     3  839.00000 3356354    3  850.00000  839.00000  1.29%   0.0  595s
 10116448     3  839.00000 3370821    3  850.00000  839.00000  1.29%   0.0  600s
 10162402     3  839.00000 3386139    3  850.00000  839.00000  1.29%   0.0  605s
 10205803     3  839.00000 3400606    3  850.00000  839.00000  1.29%   0.0  610s
 10251757     3  839.00000 3415924    3  850.00000  839.00000  1.29%   0.0  615s
 10295158     3  839.00000 3430391    3  850.00000  839.00000  1.29%   0.0  620s
 10338559     3  839.00000 3444858    3  850.00000  839.00000  1.29%   0.0  625s
 10381960     3  839.00000 3459325    3  850.00000  839.00000  1.29%   0.0  630s
 10427914     3  839.00000 3474643    3  850.00000  839.00000  1.29%   0.0  635s
 10468762     3  839.00000 3488259    3  850.00000  839.00000  1.29%   0.0  640s
 10512163     3  839.00000 3502726    3  850.00000  839.00000  1.29%   0.0  645s
 10555564     3  839.00000 3517193    3  850.00000  839.00000  1.29%   0.0  650s
 10598965     3  839.00000 3531660    3  850.00000  839.00000  1.29%   0.0  655s
 10642366     3  839.00000 3546127    3  850.00000  839.00000  1.29%   0.0  660s
 10685767     3  839.00000 3560594    3  850.00000  839.00000  1.29%   0.0  665s
 10729168     3  839.00000 3575061    3  850.00000  839.00000  1.29%   0.0  670s
 10767463     3  839.00000 3587826    3  850.00000  839.00000  1.29%   0.0  675s
 10810013     3  839.00000 3601442    3  850.00000  839.00000  1.29%   0.0  680s
 10850861     3  839.00000 3615058    3  850.00000  839.00000  1.29%   0.0  685s
 10894262     3  839.00000 3629525    3  850.00000  839.00000  1.29%   0.0  690s
 10935110     3  839.00000 3643141    3  850.00000  839.00000  1.29%   0.0  695s
 10978511     3  839.00000 3657608    3  850.00000  839.00000  1.29%   0.0  700s
 11019359     3  839.00000 3671224    3  850.00000  839.00000  1.29%   0.0  705s
 11059356     3  839.00000 3683989    3  850.00000  839.00000  1.29%   0.0  710s
 11102757     3  839.00000 3698456    3  850.00000  839.00000  1.29%   0.0  715s
 11143605     3  839.00000 3712072    3  850.00000  839.00000  1.29%   0.0  720s
 11184453     3  839.00000 3725688    3  850.00000  839.00000  1.29%   0.0  725s
 11225301     3  839.00000 3739304    3  850.00000  839.00000  1.29%   0.0  730s
 11266149     3  839.00000 3752920    3  850.00000  839.00000  1.29%   0.0  735s
 11306997     3  839.00000 3766536    3  850.00000  839.00000  1.29%   0.0  740s
 11347845     3  839.00000 3780152    3  850.00000  839.00000  1.29%   0.0  745s
